jobName,companyName,companyProp,salary,workExperience,recruitmentNumber,education,五险一金,带薪休假,员工旅游,周末双休,弹性工作,餐补,交通补助,年底双薪,股票期权
高级前端开发工程师,厦门千时科技有限公司,民营,36000.0,5-10年,5人 ,本科,1,0,1,1,1,0,0,0,0
大数据开发工程师,北京恒昌利通投资管理有限公司,民营,0.0,3-5年,3人 ,本科,1,0,0,0,0,1,0,0,0
PHP开发工程师,北京轻松筹网络科技有限公司 ,民营,12500.5,3-5年,1人 ,本科,1,0,0,0,1,0,0,1,0
PHP开发工程师（北京）,深圳市八斗才数据有限公司 ,民营,12500.5,1-3年,2人 ,大专,1,0,1,0,1,0,0,0,0
数据研发工程师,北京恒昌利通投资管理有限公司,民营,0.0,3-5年,2人 ,本科,1,0,0,0,0,1,0,0,0
PHP开发工程师,领途教育咨询(北京)有限公司 ,其它,11500.0,1-3年,2人 ,本科,1,0,0,1,1,0,0,0,1
技术经理（互联网）,信广金融服务外包(北京)有限公司 ,民营,22500.0,5-10年,1人 ,本科,1,0,1,1,1,0,0,0,0
安卓工程师,北京尧米科技有限公司 ,民营,17500.5,3-5年,1人 ,本科,1,0,0,1,1,0,0,1,1
搜索开发工程师,北京因果树网络科技有限公司 ,股份制企业,25000.5,3-5年,1人 ,本科,0,0,0,0,0,0,0,0,0
windows C++工程师,北京华睿科创科技有限公司 ,股份制企业,15000.0,5-10年,1人 ,本科,1,0,0,1,1,0,0,0,0
c++工程师,新奥特(北京)视频技术有限公司 ,外商独资,16000.0,1-3年,2人 ,本科,1,0,0,1,0,1,0,0,0
需求分析工程师,中科软科技股份有限公司,股份制企业,8500.0,3-5年,1人 ,本科,1,0,1,0,0,1,0,0,0
需求分析师,康姿百德集团有限公司,民营,12500.0,3-5年,1人 ,大专,1,0,1,0,0,1,0,0,1
开发部4C#软件开发工程师,阁瑞钛伦特软件(北京)有限公司 ,民营,9000.5,不限,26人 ,大专,1,0,1,0,0,0,0,1,0
上位机软件工程师(C语言，C++),北京大华无线电仪器有限责任公司 ,国企,12500.5,3-5年,2人 ,本科,1,0,0,0,0,1,0,1,0
电子印章技术经理,北京中科江南信息技术股份有限公司 ,民营,20000.0,3-5年,1人 ,大专,1,0,1,0,1,1,0,0,0
C语言工程师,北京泰可斯科技有限公司 ,民营,17500.5,3-5年,3人 ,本科,1,0,0,0,0,1,1,0,0
java开发主管,如舜投资(上海)有限公司 ,民营,30000.0,5-10年,3人 ,本科,1,0,1,1,1,0,0,0,0
java高级开发工程师（个推）-产品技术中心,搜狐视频 ,上市公司,22500.0,5-10年,1人 ,本科,0,0,0,0,0,0,0,0,0
物联网高级JAVA工程师,青岛嘉盛泰科技服务有限公司 ,港澳台公司,17500.5,5-10年,1人 ,本科,1,0,0,0,0,1,1,1,0
高级java研发工程师,博雅云计算科技(北京)有限公司 ,民营,22500.0,5-10年,5人 ,本科,1,0,1,1,0,0,0,0,0
ERP产品经理（需求分析师）,我爱我家集团,上市公司,25000.0,5-10年,1人 ,本科,1,0,0,0,0,0,0,1,0
需求分析工程师,福建新大陆软件工程有限公司 ,民营,12500.5,3-5年,5人 ,本科,1,0,0,0,0,0,0,1,0
Java,北京海客瀛洲网络科技有限公司 ,民营,11500.0,不限,1人 ,本科,1,0,0,0,1,1,0,0,0
java高级开发工程师,北京星影聚合互联网科技有限公司 ,民营,32500.0,5-10年,2人 ,本科,1,0,1,0,0,0,0,1,0
java初级开发工程师（北京）,深圳市源极光科技有限公司 ,民营,8000.0,不限,6人 ,大专,1,0,1,0,1,0,0,0,0
java研发工程师（北京）,深圳市源极光科技有限公司 ,民营,20000.0,3-5年,1人 ,大专,1,0,1,0,1,0,0,0,0
中级java工程师（devops）-研发中心,北京神州泰岳软件股份有限公司 ,民营,16000.0,3-5年,1人 ,本科,1,0,0,1,0,1,0,0,1
Java实习生,博盛东宇(北京)科技有限公司 ,民营,3000.5,不限,3人 ,大专,1,0,0,0,0,1,0,1,0
java技术经理,股家(北京)科技有限公司 ,民营,30000.0,5-10年,1人 ,本科,1,0,1,0,0,0,0,1,0
视频-产品技术中心-Java后台开发工程师,搜狐视频 ,上市公司,15000.0,1-3年,2人 ,本科,0,0,0,0,0,0,0,0,0
后台引擎开发工程师,北京奇虎科技有限公司,上市公司,0.0,3-5年,1人 ,本科,0,0,0,0,0,0,0,0,0
iOS 开发工程师,北京奇虎科技有限公司,上市公司,0.0,3-5年,4人 ,本科,0,0,0,0,0,0,0,0,0
高级Python开发工程师,北京奇虎科技有限公司,上市公司,0.0,3-5年,2人 ,本科,0,0,0,0,0,0,0,0,0
PHP 开发工程师,北京奇虎科技有限公司,上市公司,0.0,3-5年,4人 ,本科,0,0,0,0,0,0,0,0,0
Android 安全研究开发工程师,北京奇虎科技有限公司,上市公司,0.0,3-5年,3人 ,本科,0,0,0,0,0,0,0,0,0
服务器后端开发高级工程师,北京奇虎科技有限公司,上市公司,0.0,3-5年,1人 ,本科,0,0,0,0,0,0,0,0,0
服务端golang研发工程师,北京奇虎科技有限公司,上市公司,0.0,3-5年,1人 ,本科,0,0,0,0,0,0,0,0,0
